id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Dusty Roads,The Wayfarers,country,nostalgic,0.55,104,0.72,0.65,0.78
12,Broken Satellites,Luna Vex,emo,sad,0.68,130,0.22,0.58,0.14
13,Golden Hour,Sable Keys,r&b,romantic,0.61,95,0.88,0.74,0.42
14,Deep Jungle,Bassform,hip-hop,energetic,0.85,96,0.64,0.91,0.08
15,Cathedral Light,Ivory Strings,classical,melancholic,0.24,52,0.45,0.22,0.97
16,Neon Carnival,Static Rush,electronic,euphoric,0.94,140,0.90,0.95,0.03
17,Harbour Fog,The Driftwood Co.,folk,dreamy,0.33,68,0.67,0.48,0.88
18,Iron Curtain,Molten Core,metal,angry,0.97,168,0.31,0.52,0.06
